"CaptureBase_DataPiracy.contractName";"Data Piracy";"Data Piracy";;;
"CaptureBase_SurveillanceOutpost_Hard.dialogueList6.dialogueContent0.words";"Dropship inbound for landing! We're going to get in and out quick!";"Dropship inbound for landing! We're going to get in and out quick!";;;
"CaptureBase_SurveillanceOutpost_Hard.dialogueList7.dialogueContent0.words";"Commander, bad news. We're seeing energy signatures for fixed defenses powering up.";"Commander, bad news. We're seeing energy signatures for fixed defenses powering up.";;;
"CaptureBase_SurveillanceOutpost_Hard.dialogueList7.dialogueContent1.words";"Turrets. Remember they can spot you from a very long way off, Commander.";"Turrets. Remember they can spot you from a very long way off, Commander.";;;
"CaptureBase_SurveillanceOutpost_Hard.dialogueList8.dialogueContent0.words";"Sure enough, that facility isn't abandoned at all. We need to sweep it for hostiles and clear them out.";"Sure enough, that facility isn't abandoned at all. We need to sweep it for hostiles and clear them out.";;;
"CaptureBase_SurveillanceOutpost_Hard.dialogueList8.dialogueContent1.words";"Remember there may be more enemy units in the field, so stay alert.";"Remember there may be more enemy units in the field, so stay alert.";;;
"CaptureBase_SurveillanceOutpost_Hard.longDescription";"How relevant can intel from the ass end of nowhere really be? We're still being paid, so I suppose it doesn't matter, honestly.";"How relevant can intel from the ass end of nowhere really be? We're still being paid, so I suppose it doesn't matter, honestly.";;;
"CaptureBase_SurveillanceOutpost_Hard.objectiveList0.description";"The objective to scout the base that is being captured. Must be completed before the actual capture of the base.";"The objective to scout the base that is being captured. Must be completed before the actual capture of the base.";;;
"CaptureBase_SurveillanceOutpost_Hard.objectiveList0.title";"Scout the Outpost";"Scout the Outpost";;;
"CaptureBase_SurveillanceOutpost_Hard.objectiveList1.description";"The objective to optionally destroy the defenders of the base.";"The objective to optionally destroy the defenders of the base.";;;
"CaptureBase_SurveillanceOutpost_Hard.objectiveList1.title";"Destroy the Enemy Force";"Destroy the Enemy Force";;;
"CaptureBase_SurveillanceOutpost_Hard.objectiveList2.description";"The objective for the player to move into and capture the base.";"The objective for the player to move into and capture the base.";;;
"CaptureBase_SurveillanceOutpost_Hard.objectiveList2.title";"Occupy the Outpost";"Occupy the Outpost";;;
"CaptureBase_SurveillanceOutpost_Hard.objectiveList3.description";"HIDDEN TIMER, NO NEED TO EDIT: This is the hidden timer objective that will trigger the enemy reinforcements.";"HIDDEN TIMER, NO NEED TO EDIT: This is the hidden timer objective that will trigger the enemy reinforcements.";;;
"CaptureBase_SurveillanceOutpost_Hard.objectiveList3.title";"Hold Out as Enemies Counter Attack";"Hold Out as Enemies Counter Attack";;;
"CaptureBase_SurveillanceOutpost_Hard.objectiveList4.description";"This is a general objective to indicate the player must keep playing and eliminate enemies as they come.";"This is a general objective to indicate the player must keep playing and eliminate enemies as they come.";;;
"CaptureBase_SurveillanceOutpost_Hard.objectiveList4.title";"Pacify the Area Around the Outpost";"Pacify the Area Around the Outpost";;;
"CaptureBase_SurveillanceOutpost_Hard.objectiveList5.description";"The primary objective to destroy the force that tries to remove the player from the captured base.";"The primary objective to destroy the force that tries to remove the player from the captured base.";;;
"CaptureBase_SurveillanceOutpost_Hard.objectiveList5.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";;;
"CaptureBase_SurveillanceOutpost_Hard.objectiveList6.description";"The chunk controlled objective to destroy the turrets for the base, if the chunk is active.";"The chunk controlled objective to destroy the turrets for the base, if the chunk is active.";;;
"CaptureBase_SurveillanceOutpost_Hard.objectiveList6.title";"Eliminate Base Turrets";"Eliminate Base Turrets";;;
"CaptureBase_SurveillanceOutpost_Hard.shortDescription";"Unremarkable, empty systems like this one are the perfect location for covert intelligence gathering operations. We believe there's a {TEAM_TAR.FactionDef.Demonym} facility here on {TGT_SYSTEM.Name} doing exactly that. Monitoring the pattern of DropShips making landings on the planet has led {TEAM_EMP.FactionDef.Demonym} analysts to a remote, apparently empty facility. Until just a few days ago, when we picked up the unmasked signature of a 'Mech's fusion engine powering up. That facility isn't empty, and we want the data stored there.";"Unremarkable, empty systems like this one are the perfect location for covert intelligence gathering operations. We believe there's a {TEAM_TAR.FactionDef.Demonym} facility here on {TGT_SYSTEM.Name} doing exactly that. Monitoring the pattern of DropShips making landings on the planet has led {TEAM_EMP.FactionDef.Demonym} analysts to a remote, apparently empty facility. Until just a few days ago, when we picked up the unmasked signature of a 'Mech's fusion engine powering up. That facility isn't empty, and we want the data stored there.";;;
"CaptureBase_SyntheticPlague.contractName";"Synthetic Plague";"Synthetic Plague";;;
"CaptureBase_SyntheticPlague.dialogueList0.dialogueContent0.words";"We're in the AO, Commander. My skin is crawling just thinking about what's out here.";"We're in the AO, Commander. My skin is crawling just thinking about what's out here.";;;
"CaptureBase_SyntheticPlague.dialogueList0.dialogueContent1.words";"Advance to a good recon position and let's see who's guarding that site.";"Advance to a good recon position and let's see who's guarding that site.";;;
"CaptureBase_SyntheticPlague.dialogueList0.dialogueContent2.words";"Oh, and Commander? Don't bring me any souvenirs, okay? Oliveira out.";"Oh, and Commander? Don't bring me any souvenirs, okay? Oliveira out.";;;
"CaptureBase_SyntheticPlague.dialogueList1.dialogueContent0.words";"The disposal team is inbound, Commander. Let's get the hell out of here before our luck changes.";"The disposal team is inbound, Commander. Let's get the hell out of here before our luck changes.";;;
"CaptureBase_SyntheticPlague.dialogueList2.dialogueContent0.words";"We'll need to have a serious debriefing after this one, Commander.";"We'll need to have a serious debriefing after this one, Commander.";;;
"CaptureBase_SyntheticPlague.dialogueList3.dialogueContent0.words";"Bogeys on sensors!";"Bogeys on sensors!";;;
"CaptureBase_SyntheticPlague.dialogueList4.dialogueContent0.words";"[GENERIC VO] Area is not clear, Commander. Eliminate the hostiles before continuing to the next Objective.";"[GENERIC VO] Area is not clear, Commander. Eliminate the hostiles before continuing to the next Objective.";;;
"CaptureBase_SyntheticPlague.dialogueList5.dialogueContent0.words";"[GENERIC VO] Sensors are clear, proceed to the next objective.";"[GENERIC VO] Sensors are clear, proceed to the next objective.";;;
"CaptureBase_SyntheticPlague.dialogueList6.dialogueContent0.words";"Dropship inbound for landing! We're going to get in and out quick!";"Dropship inbound for landing! We're going to get in and out quick!";;;
"CaptureBase_SyntheticPlague.dialogueList7.dialogueContent0.words";"There's active fixed defenses in there, Commander. They really don't want us taking this site.";"There's active fixed defenses in there, Commander. They really don't want us taking this site.";;;
"CaptureBase_SyntheticPlague.dialogueList7.dialogueContent1.words";"At least turrets are easy to outmaneuver. Remember they'll spot you for other units, Commander.";"At least turrets are easy to outmaneuver. Remember they'll spot you for other units, Commander.";;;
"CaptureBase_SyntheticPlague.dialogueList8.dialogueContent0.words";"That's a lot of defense for a supposedly empty facility. I have a bad feeling that our employers are right about this place.";"That's a lot of defense for a supposedly empty facility. I have a bad feeling that our employers are right about this place.";;;
"CaptureBase_SyntheticPlague.dialogueList8.dialogueContent1.words";"I'd expect at least one lance of reinforcements in the field, sweeping for intruders. Meaning us.";"I'd expect at least one lance of reinforcements in the field, sweeping for intruders. Meaning us.";;;
"CaptureBase_SyntheticPlague.longDescription";"I'll ask the obvious question: how do we know they won't just keep the bioweapons for themselves? Then again, if we second guessed every job, we'd be broke.";"I'll ask the obvious question: how do we know they won't just keep the bioweapons for themselves? Then again, if we second guessed every job, we'd be broke.";;;
"CaptureBase_SyntheticPlague.objectiveList0.description";"The objective to scout the base that is being captured. Must be completed before the actual capture of the base.";"The objective to scout the base that is being captured. Must be completed before the actual capture of the base.";;;
"CaptureBase_SyntheticPlague.objectiveList0.title";"Scout the Bioweapon Storage Site";"Scout the Bioweapon Storage Site";;;
"CaptureBase_SyntheticPlague.objectiveList1.description";"The objective to optionally destroy the defenders of the base.";"The objective to optionally destroy the defenders of the base.";;;
"CaptureBase_SyntheticPlague.objectiveList1.title";"Destroy the Enemy Defenders";"Destroy the Enemy Defenders";;;
"CaptureBase_SyntheticPlague.objectiveList2.description";"The objective for the player to move into and capture the base.";"The objective for the player to move into and capture the base.";;;
"CaptureBase_SyntheticPlague.objectiveList2.title";"Occupy the Bioweapon Storage Site";"Occupy the Bioweapon Storage Site";;;
"CaptureBase_SyntheticPlague.objectiveList3.description";"HIDDEN TIMER, NO NEED TO EDIT: This is the hidden timer objective that will trigger the enemy reinforcements.";"HIDDEN TIMER, NO NEED TO EDIT: This is the hidden timer objective that will trigger the enemy reinforcements.";;;
"CaptureBase_SyntheticPlague.objectiveList3.title";"Hold Out as Enemies Counter Attack";"Hold Out as Enemies Counter Attack";;;
"CaptureBase_SyntheticPlague.objectiveList4.description";"This is a general objective to indicate the player must keep playing and eliminate enemies as they come.";"This is a general objective to indicate the player must keep playing and eliminate enemies as they come.";;;
"CaptureBase_SyntheticPlague.objectiveList4.title";"Pacify the Area Around the Bioweapon Storage Site";"Pacify the Area Around the Bioweapon Storage Site";;;
"CaptureBase_SyntheticPlague.objectiveList5.description";"The primary objective to destroy the force that tries to remove the player from the captured base.";"The primary objective to destroy the force that tries to remove the player from the captured base.";;;
"CaptureBase_SyntheticPlague.objectiveList5.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";;;
"CaptureBase_SyntheticPlague.objectiveList6.description";"The chunk controlled objective to destroy the turrets for the base, if the chunk is active.";"The chunk controlled objective to destroy the turrets for the base, if the chunk is active.";;;
"CaptureBase_SyntheticPlague.objectiveList6.title";"Eliminate Base Turrets";"Eliminate Base Turrets";;;
"CaptureBase_SyntheticPlague.shortDescription";"We've got a developing situation, Commander, and we need immediate aid from a reliable mercenary company. A covert {TEAM_TAR.FactionDef.Demonym} team was investigating reports of a cache of bioweapons on an otherwise abandoned world. We've tracked down four of these caches in the Periphery over the last 20 years, and disposed of them safely. The team was about to signal for an extraction when their signal went dead. We have reason to believe that {TEAM_TAR.FactionDef.Demonym} forces have taken control of the cache site, and eliminated our covert team. We need you to take that site and signal our disposal team.";"We've got a developing situation, Commander, and we need immediate aid from a reliable mercenary company. A covert {TEAM_TAR.FactionDef.Demonym} team was investigating reports of a cache of bioweapons on an otherwise abandoned world. We've tracked down four of these caches in the Periphery over the last 20 years, and disposed of them safely. The team was about to signal for an extraction when their signal went dead. We have reason to believe that {TEAM_TAR.FactionDef.Demonym} forces have taken control of the cache site, and eliminated our covert team. We need you to take that site and signal our disposal team.";;;
